iter	Passed	Remaining
405	6334	9268
406	6346	9247
407	6357	9224
408	6367	9201
409	6378	9179
410	6390	9157
411	6400	9135
412	6413	9115
413	6427	9097
414	6441	9079
415	6455	9061
416	6469	9044
417	6483	9026
418	6498	9011
419	6512	8992
420	6526	8975
421	6541	8959
422	6557	8944
423	6572	8929
424	6586	8910
425	6599	8891
426	6611	8872
427	6623	8852
428	6634	8831
429	6648	8812
430	6659	8792
431	6673	8774
432	6687	8757
433	6699	8737
434	6713	8719
435	6729	8704
436	6743	8687
437	6756	8668
438	6769	8650
439	6783	8632
440	6797	8616
441	6817	8606
442	6830	8587
443	6842	8568
444	6854	8549
445	6869	8532
446	6884	8516
447	6898	8500
448	6912	8482
449	6926	8465
450	6942	8450
451	6973	8454
452	6992	8442
453	7007	8427
454	7020	8409
455	7034	8391
456	7048	8374
457	7062	8358
458	7074	8338
459	7087	8320
460	7099	8300
461	7113	8284
462	7126	8265
463	7140	8248
464	7154	8231
465	7170	8216
466	7184	8199
467	7198	8183
468	7213	8166
469	7228	8151
470	7242	8134
471	7257	8118
472	7270	8101
473	7286	8085
474	7300	8068
475	7314	8051
476	7329	8036
477	7342	8018
478	7358	8003
479	7373	7987
480	7388	7971
481	7404	7957
482	7418	7940
483	7432	7923
484	7445	7906
485	7460	7889
486	7474	7873
487	7487	7856
488	7501	7839
489	7515	7822
490	7527	7803
491	7540	7785
492	7552	7766
493	7564	7748
494	7577	7730
495	7590	7712
496	7603	7695
497	7617	7678
498	7631	7662
499	7646	7646
500	7661	7631
501	7677	7615
502	7691	7599
503	7706	7584
504	7722	7569
505	7738	7554
506	7753	7538
507	7767	7522
508	7782	7507
509	7798	7492
510	7819	7483
511	7838	7471
512	7855	7456
513	7872	7443
514	7892	7432
515	7909	7418
516	7927	7406
517	7947	7395
518	7966	7383
519	7980	7366
520	7994	7350
521	8009	7334
522	8023	7317
523	8037	7301
524	8052	7285
525	8065	7268
526	8079	7251
527	8092	7233
528	8106	7217
529	8120	7200
530	8135	7185
531	8151	7171
532	8167	7156
533	8183	7141
534	8199	7126
535	8214	7111
536	8230	7096
537	8247	7082
538	8264	7068
539	8282	7055
540	8299	7041
541	8315	7026
542	8331	7011
543	8348	6998
544	8365	6984
545	8382	6970
546	8399	6956
547	8416	6942
548	8432	6927
549	8448	6912
550	8464	6897
551	8481	6883
552	8497	6868
553	8513	6854
554	8531	6840
555	8549	6827
556	8568	6814
557	8585	6800
558	8603	6787
559	8622	6774
560	8640	6761
561	8659	6748
562	8678	6736
563	8693	6720
564	8707	6704
565	8722	6688
566	8737	6672
567	8753	6657
568	8769	6642
569	8784	6627
570	8803	6613
571	8819	6599
572	8832	6581
573	8843	6563
574	8856	6545
575	8867	6527
576	8879	6509
577	8892	6492
578	8906	6476
